Product Name,Product Version,Mapped Product Name,Lifecycle Color,Match Type,Match Details
Tivoli System Automation for MultiPlatforms,4.1.0.7,Tivoli System Automation for MultiPlatforms,green,exact,"Exact match: product='tivoli system automation for multiplatforms', version='4.1.x'"
Z Observability Connect,7.1.0,Z Observability Connect,green,substring,"Substring match: found 'z observability connect' in 'ibm z observability connect', version='7.1.x'"
Db2 Performance Solution Pack for z/OS,3.1,Db2 Performance Solution Pack for z/OS,green,exact,"Exact match: product='db2 performance solution pack for z/os', version='3.1.0'"
MQ for z/OS,15.4 (EOS 31 August 2027),MQ for z/OS,blue,no_match,"No match found for product 'MQ for z/OS' (mapped from 'MQ for z/OS'), version '15.4'"
WebSphere Application Server for z/OS,nan,WebSphere Application Server for z/OS,blue,no_match,Empty or null version
Cloud Pak for Security,1.11.5.0,Cloud Pak for Security,green,substring,"Substring match: found 'cloud pak for security' in 'ibm cloud pak for security', version='1.11.x'"
DataStax Enterprise,6.9.17,DataStax Enterprise,green,wildcard,Wildcard match: version '6.9.17' matches pattern '6.x' in 'ibm datastax enterprise'
Aspera,4.4.0,Aspera,green,substring,"Substring match: found 'aspera' in 'aspera', version='4.4.x'"
SevOne Network Performance Management,6.8.13,SevOne Network Performance Management,orange,major.minor,Major.minor match: '6.8.13' matches '6.8' in 'ibm sevone network performance management'
Cloud Pak for Data System,1.0.7.8-IF3,Cloud Pak for Data System,red,substring,"Substring match: found 'cloud pak for data system' in 'ibm cloud pak for data system for federal and finance', version='1.0.x'"
Cloud Object Storage,3.17.0.108,Cloud Object Storage,green,substring,"Substring match: found 'cloud object storage' in 'ibm cloud object storage system', version='3.17.x'"
Sterling Gentran Server,Gentran for z/OS - 6.5.0,Sterling Gentran Server,blue,no_match,"No match found for product 'Sterling Gentran Server' (mapped from 'Sterling Gentran Server'), version 'gentran for z/os - 6.5.0'"
webMethods Business Process Management,12.1,webMethods Business Process Management,blue,no_match,"No match found for product 'webMethods Business Process Management' (mapped from 'webMethods Business Process Management'), version '12.1'"
Sterling Connect Direct,C:D UNIX 4.2 (Unsupported),IBM Sterling Connect:Direct for UNIX,blue,no_match,"No match found for product 'IBM Sterling Connect:Direct for UNIX' (mapped from 'Sterling Connect Direct'), version 'c:d unix 4.2 (unsupported)'"
