Product Name,Invalid Version String,Reason,Total Tickets Affected
Storage Scale System Software,Spectrum Scale Data Management Edition for ESS v5.1.3,Too long (53 chars),52
BACC Planning Analytics (PA),IBM Cloud VPC BACC Planning Analytics (PA) Validation Testing,Too long (61 chars),51
Sterling Transformation Extender,9.0.0 (Support Extension Required),Matches pattern: \(.*\),51
Tivoli Network Manager,4.2.0.0 (build 11),Matches pattern: \(.*\),51
Python for z/OS,"Open Enterprise Python for z/OS, V3.11 (EOS, 4/30/2025)",Too long (55 chars),50
Storage Scale System Software,Spectrum Scale Data Access Edition for ESS v5.1.3,Too many words (8),50
Developer for z/OS,"15.0.x (EOS, 2024-04-30)",Matches pattern: \(.*\),49
Rational Developer,"9.6.x (EOS, 2025-04-30)",Matches pattern: \(.*\),49
Storage Scale,"5.0.x (EOS 4/30/2022, no Extended Support available)",Too long (52 chars),49
PowerVM / VIOS,Early Ship Program Only - PowerVM,Too many words (6),48
Sterling Transformation Extender,10.0.0 (Support Extension Required),Matches pattern: \(.*\),46
COBOL,"Enterprise COBOL for z/OS Runtime, V3+",Too many words (6),45
Sterling Gentran Server,Gentran Server for Windows - 5.2.0,Too many words (6),44
COBOL,"Enterprise COBOL for z/OS Runtime, V5+",Too many words (6),44
WebSphere Application Server for IBM i,9.0 ND - Please open case with the 'Websphere Application Server' product,Too long (73 chars),44
VM Recovery Manager,VM REcovery Manager for DR v1.9.0,Too many words (6),44
Fault Analyzer,14.1 (EOS 2024-04-30),Matches pattern: \(.*\),42
IMS,15.2 (EOS),Matches pattern: \(.*\),42
BACC Cognos On Cloud,IBM Cloud VPC BACC Cognos on Cloud (BCA) DEV Regression Testing,Too long (63 chars),42
Sterling Connect Direct for z/OS,Other (Unsupported),Matches pattern: \(.*\),41
Python for z/OS,"Open Enterprise Python for z/OS, V3.11",Too many words (6),41
IBM i on Cloud,7.1 [EOS 30 April 2018 Need Service Extension],Too many words (8),40
Cloud Infrastructure Center,1.2.4 for IBM Z and LinuxONE,Too many words (6),39
Storage Scale System Software,Spectrum Scale Data Management Edition for ESS 5.1.1,Too long (52 chars),39
Storage Scale System Software,Spectrum Scale Data Access Edition for ESS 5.0.5 (EOS 4/30/2022),Too long (64 chars),39
IBM i on PowerVS,7.2 [EOS 30 April 2021 Need Service Extension],Too many words (8),38
z/VSE,6.2.0 (EOS since 2023/09/30),Matches pattern: \(.*\),38
Cloud Infrastructure Center,1.2.5 for IBM Z and LinuxONE,Too many words (6),37
Storage Scale System Software,Storage Scale System Software Data Management Edition 5.1.9,Too long (59 chars),37
EDB Enterprise Postgres,EDB Postgres Advanced Server (EPAS) v17.x,Matches pattern: \(.*\),35
XL C/C++,"XL C/C++ for AIX, V13.1 (EOS 9/30/2022)",Matches pattern: \(.*\),35
Storage Scale System Software,Spectrum Scale Data Access Edition for ESS 5.0.0 (EOS 4/30/2022),Too long (64 chars),35
Storage Scale System Software,Spectrum Scale Data Management Edition for ESS 5.1.0,Too long (52 chars),35
Security Verify Governance,V.10.0.2 - Identity Manager (ISIM - Container),Matches pattern: \(.*\),35
COBOL,"Enterprise COBOL for z/OS, V6.2 (EOS, 9/30/2024)",Matches pattern: \(.*\),34
Engineering Lifecycle Management Suite,6.0.6.1 (Ended Support 10/31/2022),Matches pattern: \(.*\),34
Sterling Connect Direct,C:D UNIX 4.3 (Unsupported),Matches pattern: \(.*\),33
Sterling Gentran Server,Gentran Server for Unix - 6.2.0,Too many words (6),32
COBOL,"COBOL for Linux on x86, V1.1",Too many words (6),30
Tivoli Network Manager,4.2.0.10 (build 106),Matches pattern: \(.*\),29
COBOL,"COBOL for AIX, V5.1 (EOS, 4/30/2027)",Matches pattern: \(.*\),29
EDB Enterprise Postgres,EDB Postgres Advance Server (EPAS) v11.x,Matches pattern: \(.*\),29
Storage Scale System Software,Storage Scale System Software Data Access Edition 5.1.9,Too long (55 chars),28
Sterling B2B Integrator,6.0.1 (not supported),Matches pattern: \(.*\),28
Sterling Control Center,6.1.X (Unsupported),Matches pattern: \(.*\),27
z/VM,7.1.0 (EOS),Matches pattern: \(.*\),27
Db2 Web Query for i,2.3.0 (EOS 10/31/23),Matches pattern: \(.*\),27
Application Discovery and Delivery Intelligence,Application Discovery and Delivery Intelligence 6.1.0,Too long (53 chars),27
CICS Transaction Server,CICS TS 5.2 - (EOS 31 Dec 2020),Matches pattern: \(.*\),26
VM Recovery Manager,VM Recovery Manager for HA 1.6.0,Too many words (6),26
AIX,Early Ship Program Only - AIX,Too many words (6),26
Sterling Connect Direct,C:D Windows 6.0 (Unsupported),Matches pattern: \(.*\),25
Engineering Lifecycle Management Base,6.0.6.1 (Ended Support 10/31/2022),Matches pattern: \(.*\),25
Engineering Lifecycle Management Base,7.0.1 (Ended Support 9/30/2023),Matches pattern: \(.*\),25
Explorer for z/OS,"3.2.x (EOS, 2025-04-30)",Matches pattern: \(.*\),24
Storage Protect Plus,"Version 10.1.16 Build: 607 Dec 16, 2024 9:02:17 PM",Too many words (9),24
BACC DataStage,User Acceptance Testing (UAT),Matches pattern: \(.*\),24
Sterling B2B Integrator,6.0.2 (not supported),Matches pattern: \(.*\),23
Sterling File Gateway,6.0.3 (not supported),Matches pattern: \(.*\),23
Storage Protect for Databases,7.1 (End of Support),Matches pattern: \(.*\),23
BACC DataStage,Windows Terminal Services (WTS),Matches pattern: \(.*\),23
Tivoli Network Manager,4.2.0.12 (build 128),Matches pattern: \(.*\),23
Informix Dynamic Server,OnLine (all other versions),Matches pattern: \(.*\),22
Storage Protect Plus,Versão 10.1.15 Construção: 198 31 de ago de 2023 01:57:49,Too long (57 chars),22
VM Recovery Manager,VM Recovery Manager for HA v1.9.0,Too many words (6),22
Dependency Based Build,"1.1.x (EOS, 2024-04-30)",Matches pattern: \(.*\),22
Engineering Workflow Management,6.0.6.1 (Ended Support 10/31/2022),Matches pattern: \(.*\),21
Engineering Workflow Management,6.0.6 (Ended Support 10/31/2022),Matches pattern: \(.*\),21
Advanced VSAM Manager for z/OS,2.6.0 (Service Extension Only),Matches pattern: \(.*\),20
Sterling Connect Direct,C:D Windows 4.8 (Unsupported),Matches pattern: \(.*\),20
Sterling Transformation Extender,10.0.1 (Superseded by 10.0.3),Matches pattern: \(.*\),20
IBM i,"7.1 and earlier [best effort, need special bid contract]",Too long (56 chars),20
APL2,2.2.0 (EOS),Matches pattern: \(.*\),20
Python for z/OS,"Open Enterprise Python for z/OS, V3.12",Too many words (6),20
