original_product,mapped_product,version,normalized_versions,found_in,matched_version,is_blue
Verify Identity Governance,Verify Identity Governance,Verify Identity Governance,verify identity governance,NOT FOUND,N/A,True
Barcode Scanners,Barcode Scanners,Barcode Scanner,barcode scanner,NOT FOUND,N/A,True
z15,z15,Z Servers,z servers,NOT FOUND,N/A,True
AIX on PowerVS,AIX on PowerVS,AIX on Cloud,aix on cloud,NOT FOUND,N/A,True
QRadar Network Insights,QRadar Network Insights,QRadar Network Insights,qradar network insights,NOT FOUND,N/A,True
SPSS Statistics,IBM SPSS Statistics,SPSS Statistics,spss statistics,NOT FOUND,N/A,True
Power System H922 Server,Power System H922 Server,Power System H922 Server,power system h922 server,NOT FOUND,N/A,True
FlashSystem 7600,FlashSystem 7600,unassigned,unassigned,NOT FOUND,N/A,True
LinuxONE Emperor 5,LinuxONE Emperor 5,Z Servers,z servers,NOT FOUND,N/A,True
Sterling Connect Direct for z/OS,IBM Sterling Connect:Direct for z/OS,Sterling Connect Direct for z/OS,sterling connect direct for z/os,NOT FOUND,N/A,True
Astra DB,Astra DB,Astra DB,astra db,NOT FOUND,N/A,True
DevOps Code ClearCase,DevOps Code ClearCase,DevOps Code ClearCase,devops code clearcase,NOT FOUND,N/A,True
Db2 Administration Foundation for z/OS,Db2 Administration Foundation for z/OS,Db2 Administration Foundation for z/OS,db2 administration foundation for z/os,NOT FOUND,N/A,True
DataStax Enterprise,DataStax Enterprise,DataStax Enterprise,datastax enterprise,NOT FOUND,N/A,True
Reliable Scalable Cluster Technology (RSCT),Reliable Scalable Cluster Technology (RSCT),Reliable Scalable Cluster Technology (RSCT),reliable scalable cluster technology (rsct),NOT FOUND,N/A,True
Storage Scale,IBM Storage Scale Data Management Edition,Spectrum Scale,spectrum scale,NOT FOUND,N/A,True
Enterprise Performance Management,Enterprise Performance Management,Enterprise Performance Management,enterprise performance management,NOT FOUND,N/A,True
watsonx Code Assistant for Z,watsonx Code Assistant for Z,watsonx Code Assistant for Z,watsonx code assistant for z,NOT FOUND,N/A,True
SurePOS,SurePOS,SurePOS,surepos,NOT FOUND,N/A,True
Cognos Command Center,Cognos Command Center,Cognos Command Center,cognos command center,NOT FOUND,N/A,True
Financial Transaction Manager,Financial Transaction Manager,Financial Transaction Manager (FTM Base),financial transaction manager (ftm base),NOT FOUND,N/A,True
Storage Copy Data Management,Storage Copy Data Management,Storage Copy Data Manager,storage copy data manager,NOT FOUND,N/A,True
Premium Operations Vmware,Premium Operations Vmware,Storage Premium Operations,storage premium operations,NOT FOUND,N/A,True
Sterling Gentran Server,Sterling Gentran Server,Sterling Gentran Server,sterling gentran server,NOT FOUND,N/A,True
Azure,Azure,Microsoft Azure,microsoft azure,NOT FOUND,N/A,True
Security Series,Security Series,Security Appliance,security appliance,NOT FOUND,N/A,True
Deskside & End User Support Project Services,Deskside & End User Support Project Services,Deskside & End User Support Project Services,deskside & end user support project services,NOT FOUND,N/A,True
Db2 Administration Tool for z/OS,Db2 Administration Tool for z/OS,Db2 Administration Tool for z/OS,db2 administration tool for z/os,NOT FOUND,N/A,True
FlashSystem V9000,FlashSystem V9000,FlashSystem V9000,flashsystem v9000,NOT FOUND,N/A,True
Operations Analytics (Log Analysis/Predictive Insights),Operations Analytics (Log Analysis/Predictive Insights),Operations Analytics LA PI,operations analytics la pi,NOT FOUND,N/A,True
Cash Recycler,Cash Recycler,Cash Recycler,cash recycler,NOT FOUND,N/A,True
FlashSystem 900,FlashSystem 900,FlashSystem 900,flashsystem 900,NOT FOUND,N/A,True
watsonx.ai as a Service,watsonx.ai as a Service,watsonx.ai as a Service,"watsonx.ai as a service, watsonx.ai as a service.0, watsonx.ai as a service.x",NOT FOUND,N/A,True
Sterling Transformation Extender,IBM Sterling Transformation Extender,Sterling Transformation Extender (WTX),sterling transformation extender (wtx),NOT FOUND,N/A,True
Db2 AI for z/OS,Db2 AI for z/OS,Db2 AI for z/OS,db2 ai for z/os,NOT FOUND,N/A,True
Document Reader,Document Reader,Document Reader,document reader,NOT FOUND,N/A,True
Sterling B2B Integration Value-Added Network,Sterling B2B Integration Value-Added Network,Sterling B2B Integration Value-Added Network,sterling b2b integration value-added network,NOT FOUND,N/A,True
Premium Operations Open Source,Premium Operations Open Source,Storage Premium Operations,storage premium operations,NOT FOUND,N/A,True
Data Set Commander,Data Set Commander,Data Set Commander,data set commander,NOT FOUND,N/A,True
iPad,iPad,iPad,ipad,NOT FOUND,N/A,True
zTech,zTech,IBM Z ISV Development Programs,ibm z isv development programs,NOT FOUND,N/A,True
Consul Self-Managed,Consul Self-Managed,Consul Self-Managed,consul self-managed,NOT FOUND,N/A,True
z16 AGZ,z16 AGZ,Z Servers,z servers,NOT FOUND,N/A,True
Cognos Analytics on Cloud,Cognos Analytics on Cloud,Cognos Analytics on Cloud,cognos analytics on cloud,NOT FOUND,N/A,True
BACC Cognos On Cloud,BACC Cognos On Cloud,BACC Support,bacc support,NOT FOUND,N/A,True
Call Center on Cloud,Call Center on Cloud,Call Center on Cloud,call center on cloud,NOT FOUND,N/A,True
watsonx.governance,watsonx.governance,watsonx.governance,"watsonx.governance, watsonx.governance.0, watsonx.governance.x",NOT FOUND,N/A,True
Kubecost Self Hosted,Kubecost Self Hosted,Kubecost Self Hosted,kubecost self hosted,NOT FOUND,N/A,True
Business Process Manager on Cloud,Business Process Manager on Cloud,BPM on Cloud,bpm on cloud,NOT FOUND,N/A,True
MQ Appliance,MQ Appliance,MQ Appliance,mq appliance,NOT FOUND,N/A,True
ProLiant BL Series C-Class Server Blades,ProLiant BL Series C-Class Server Blades,Blade server,blade server,NOT FOUND,N/A,True
Maximo Asset Configuration Manager,Maximo Asset Configuration Manager,Maximo Asset Configuration Manager,maximo asset configuration manager,NOT FOUND,N/A,True
DevOps Test Workbench,DevOps Test Workbench,DevOps Test Workbench,devops test workbench,NOT FOUND,N/A,True
Tivoli Management Services for z/OS,Tivoli Management Services for z/OS,Tivoli Monitoring Services on z/OS,tivoli monitoring services on z/os,NOT FOUND,N/A,True
TellerScan Series Check Scanners,TellerScan Series Check Scanners,TellerScan Series Check Scanners,tellerscan series check scanners,NOT FOUND,N/A,True
Monitors,Monitors,19in Monitor,19in monitor,NOT FOUND,N/A,True
Maximo EAM SaaS Flex,Maximo EAM SaaS Flex,(SaaS) Maximo EAM SaaS Flex,(saas) maximo eam saas flex,NOT FOUND,N/A,True
Sterling Call Center,Sterling Call Center,Sterling Call Center,sterling call center,NOT FOUND,N/A,True
SmartSource Elite Series Scanners,SmartSource Elite Series Scanners,SmartSource Elite Series Scanners,smartsource elite series scanners,NOT FOUND,N/A,True
Content Manager,Content Manager,Content Manager,content manager,NOT FOUND,N/A,True
M365 Platform,M365 Platform,M365 Platform,m365 platform,NOT FOUND,N/A,True
Security Verify Directory,IBM Security Verify Directory,Security Verify Directory,security verify directory,NOT FOUND,N/A,True
Workload Automation on Cloud,Workload Automation on Cloud,Workload Automation on Cloud (SaaS),workload automation on cloud (saas),NOT FOUND,N/A,True
SAN Cisco MDS Collection,SAN Cisco MDS Collection,SAN Cisco MDS Collection,san cisco mds collection,NOT FOUND,N/A,True
CICS Configuration Manager,CICS Configuration Manager,CICS Configuration Manager,cics configuration manager,NOT FOUND,N/A,True
webMethods B2B,webMethods B2B,webMethods B2B,webmethods b2b,NOT FOUND,N/A,True
Key Lifecycle Manager,Key Lifecycle Manager,Key Lifecycle Manager,key lifecycle manager,NOT FOUND,N/A,True
Content Navigator and Content Navigator Mobile App,Content Navigator and Content Navigator Mobile App,Content Navigator and Content Navigator Mobile App,content navigator and content navigator mobile app,NOT FOUND,N/A,True
Vault,Vault,Vault,vault,NOT FOUND,N/A,True
Smart Uninterruptible Power Supply,Smart Uninterruptible Power Supply,Smart Uninterruptible Power Supply,smart uninterruptible power supply,NOT FOUND,N/A,True
ThinkSystem SC Series Servers,ThinkSystem SC Series Servers,unassigned,unassigned,NOT FOUND,N/A,True
LinuxONE III LT2,LinuxONE III LT2,Z Servers,z servers,NOT FOUND,N/A,True
Z System Automation,Z System Automation,Z System Automation,z system automation,NOT FOUND,N/A,True
