original_product,mapped_product,version,normalized_versions,found_in,matched_version,is_blue
IBM Java for z/OS,"IBM 64-bit SDK for z/OS, Java 2 Technology Edition",IBM Java,ibm java,NOT FOUND,N/A,True
TETRA Radio Terminals,TETRA Radio Terminals,TETRA Radio Terminals,tetra radio terminals,NOT FOUND,N/A,True
UrbanCode Release,UrbanCode Release,UrbanCode Release,urbancode release,NOT FOUND,N/A,True
iMac,iMac,iMac,imac,NOT FOUND,N/A,True
Power System E870C Server,Power System E870C Server,Power System E870C Server,power system e870c server,NOT FOUND,N/A,True
Developer for z/OS Enterprise Edition,Developer for z/OS Enterprise Edition,Developer for z/OS Enterprise Edition,developer for z/os enterprise edition,NOT FOUND,N/A,True
QRadar Log Manager,QRadar Log Manager,QRadar Log Manager,qradar log manager,NOT FOUND,N/A,True
Rack Server,Rack Server,Rack Server,rack server,NOT FOUND,N/A,True
Quick System Check Project Services,Quick System Check Project Services,unassigned,unassigned,NOT FOUND,N/A,True
Terracotta,Terracotta,Terracotta,terracotta,NOT FOUND,N/A,True
Z Anomaly Analytics,Z Anomaly Analytics,Watson to Z Anomaly Analytics,watson to z anomaly analytics,NOT FOUND,N/A,True
Rational Software Architect Designer for WebSphere Software,Rational Software Architect Designer for WebSphere Software,Rational Software Architect Designer for WebSphere Software,rational software architect designer for websphere software,NOT FOUND,N/A,True
Z Open Automation Utilities,Z Open Automation Utilities,Z Open Automation Utilities,z open automation utilities,NOT FOUND,N/A,True
SRX Series Service Gateways,SRX Series Service Gateways,SRX Series,srx series,NOT FOUND,N/A,True
Sterling Store Engagement,Sterling Store Engagement,Sterling Store Engagement,sterling store engagement,NOT FOUND,N/A,True
IBM Verify on Cloud,IBM Verify on Cloud,unassigned,unassigned,NOT FOUND,N/A,True
Wireless Access Point,Wireless Access Point,Wireless Access Point,wireless access point,NOT FOUND,N/A,True
Assets@IBM,Assets@IBM,unassigned,unassigned,NOT FOUND,N/A,True
Db2 Warehouse on Power CloudRack,Db2 Warehouse on Power CloudRack,Db2 Warehouse on Power CloudRack,db2 warehouse on power cloudrack,NOT FOUND,N/A,True
Think Client,Think Client,Think Client,think client,NOT FOUND,N/A,True
Airline Control System,Airline Control System,ALCS - TPF,alcs - tpf,NOT FOUND,N/A,True
z/OS Connect Enterprise Edition,z/OS Connect Enterprise Edition,IBM z/OS Connect,ibm z/os connect,NOT FOUND,N/A,True
Power System S812 Server,Power System S812 Server,Power System S812 Server,power system s812 server,NOT FOUND,N/A,True
AI Value Navigator,AI Value Navigator,unassigned,unassigned,NOT FOUND,N/A,True
Engineering Lifecycle Optimization Publishing,Engineering Lifecycle Optimization Publishing,Engineering Lifecycle Optimization Publishing,engineering lifecycle optimization publishing,NOT FOUND,N/A,True
Premium Operations AIX,Premium Operations AIX,Premium Operations AIX,premium operations aix,NOT FOUND,N/A,True
Tivoli Netcool Configuration Manager,Tivoli Netcool Configuration Manager,Netcool ITNM - ITNCM,netcool itnm - itncm,NOT FOUND,N/A,True
webMethods Managed File Transfer SaaS,webMethods Managed File Transfer SaaS,webMethods Managed File Transfer SaaS,webmethods managed file transfer saas,NOT FOUND,N/A,True
Storage Ready Node Defender,Storage Ready Node Defender,Storage Ready Node Defender,storage ready node defender,NOT FOUND,N/A,True
Data Erasure Project Services,Data Erasure Project Services,unassigned,unassigned,NOT FOUND,N/A,True
Rational Synergy and Change Suite,Rational Synergy and Change Suite,Rational Synergy and Change Suite,rational synergy and change suite,NOT FOUND,N/A,True
LaserJet Series Printers,LaserJet Series Printers,Laser Printer,laser printer,NOT FOUND,N/A,True
Signature Pad,Signature Pad,Signature Pad,signature pad,NOT FOUND,N/A,True
Partner Ecosystem Support,Partner Ecosystem Support,IBM Invoices and Orders,ibm invoices and orders,NOT FOUND,N/A,True
Content Collector for SAP,Content Collector for SAP,Content Collector for SAP,content collector for sap,NOT FOUND,N/A,True
Invoices and Orders,Invoices and Orders,IBM Invoices and Orders,ibm invoices and orders,NOT FOUND,N/A,True
TS3100 Tape Library,TS3100 Tape Library,TS3100 and TS3200 Tape Libraries,ts3100 and ts3200 tape libraries,NOT FOUND,N/A,True
Environmental Intelligence Suite,Environmental Intelligence Suite,Environmental Intelligence Suite,environmental intelligence suite,NOT FOUND,N/A,True
M Series Routers,M Series Routers,MX Series,mx series,NOT FOUND,N/A,True
Recovery Expert,Recovery Expert,Recovery Expert,recovery expert,NOT FOUND,N/A,True
DevOps Test Embedded,DevOps Test Embedded,DevOps Test Embedded,devops test embedded,NOT FOUND,N/A,True
Spectrum Virtualize for Storwize V5000,Spectrum Virtualize for Storwize V5000,Spectrum Virtualize for Storwize V5000,spectrum virtualize for storwize v5000,NOT FOUND,N/A,True
Printers,Printers,Printers,printers,NOT FOUND,N/A,True
Db2 Warehouse Private (dashDB local),Db2 Warehouse Private (dashDB local),Db2 Warehouse Private,db2 warehouse private,NOT FOUND,N/A,True
DevOps Test UI,DevOps Test UI,DevOps Test UI,devops test ui,NOT FOUND,N/A,True
Automation Decision Services,Automation Decision Services,Automation Decision Services,automation decision services,NOT FOUND,N/A,True
Storage Fusion Data Foundation,Storage Fusion Data Foundation,Storage Fusion Data Foundation,storage fusion data foundation,NOT FOUND,N/A,True
ThinkSystem Series Enclosure,ThinkSystem Series Enclosure,Rack Mount Series Tape Enclosures,rack mount series tape enclosures,NOT FOUND,N/A,True
Enterprise Tablets,Enterprise Tablets,Enterprise Tablets,enterprise tablets,NOT FOUND,N/A,True
StorageWorks MSA Series Disk Arrays,StorageWorks MSA Series Disk Arrays,MSA Storage,msa storage,NOT FOUND,N/A,True
Sterling Store,Sterling Store,Sterling Store,sterling store,NOT FOUND,N/A,True
Spectrum LSF Process Manager,Spectrum LSF Process Manager,Spectrum LSF Process Manager (PPM),spectrum lsf process manager (ppm),NOT FOUND,N/A,True
Automatic Data Lineage,Automatic Data Lineage,Automatic Data Lineage,automatic data lineage,NOT FOUND,N/A,True
Tivoli System Automation for MultiPlatforms,Tivoli System Automation for MultiPlatforms,TSAMP,tsamp,NOT FOUND,N/A,True
CICS Transaction Gateway,CICS Transaction Gateway,CICS Client Components on Multi,cics client components on multi,NOT FOUND,N/A,True
Fiber Service Platform FSP 3000,Fiber Service Platform FSP 3000,Fiber Service Platform FSP 3000,fiber service platform fsp 3000,NOT FOUND,N/A,True
CICS Interdependency Analyzer,CICS Interdependency Analyzer,CICS Interdependency Analyzer,cics interdependency analyzer,NOT FOUND,N/A,True
ThinkVision,ThinkVision,ThinkVision,thinkvision,NOT FOUND,N/A,True
MQ HPE NonStop,MQ HPE NonStop,MQ HPE NonStop,mq hpe nonstop,NOT FOUND,N/A,True
Power Platform Family,Power Platform Family,Power Platform Family,power platform family,NOT FOUND,N/A,True
DNS Appliance,DNS Appliance,DNS Appliance,dns appliance,NOT FOUND,N/A,True
SingleStore with IBM,SingleStore with IBM,SingleStore DB with IBM,singlestore db with ibm,NOT FOUND,N/A,True
Red Hat OpenShift Container Platform,Red Hat OpenShift Container Platform,Red Hat OpenShift Container Platform,red hat openshift container platform,NOT FOUND,N/A,True
DataAI Upgrade SWAT,DataAI Upgrade SWAT,unassigned,unassigned,NOT FOUND,N/A,True
Noname Advanced API Security,Noname Advanced API Security,Noname Advanced API Security,noname advanced api security,NOT FOUND,N/A,True
TS2250 Tape Drive,TS2250 Tape Drive,TS2250 Tape Drive,ts2250 tape drive,NOT FOUND,N/A,True
Semeru Runtimes for z/OS,Semeru Runtimes for z/OS,IBM Semeru Runtime Certified Edition,ibm semeru runtime certified edition,NOT FOUND,N/A,True
Content Assistant,Content Assistant,Content Assistant,content assistant,NOT FOUND,N/A,True
Informix Tools and Connectivity,IBM Informix Advanced Enterprise Edition,Informix Tools and Connectivity,informix tools and connectivity,NOT FOUND,N/A,True
Text to Speech for Cloud,Text to Speech for Cloud,Text to Speech for Cloud,text to speech for cloud,NOT FOUND,N/A,True
Storage Defender as a Service,Storage Defender as a Service,Storage Defender as a Service,storage defender as a service,NOT FOUND,N/A,True
Big SQL,IBM Db2 Big SQL,Big SQL,big sql,NOT FOUND,N/A,True
Sterling Gentran Director,Sterling Gentran Director,Sterling Gentran Director,sterling gentran director,NOT FOUND,N/A,True
DevOps Test Performance,DevOps Test Performance,DevOps Test Performance,devops test performance,NOT FOUND,N/A,True
Content Manager OnDemand on Cloud,Content Manager OnDemand on Cloud,Content Manager OnDemand on Cloud,content manager ondemand on cloud,NOT FOUND,N/A,True
z15 GT2,z15 GT2,Z Servers,z servers,NOT FOUND,N/A,True
Infoprint Transforms,Infoprint Transforms,XFRM TO AFP,xfrm to afp,NOT FOUND,N/A,True
Advanced Catalog Management for z/OS,Advanced Catalog Management for z/OS,Tivoli Advanced Catalog Management for z,tivoli advanced catalog management for z,NOT FOUND,N/A,True
Spectrum LSF License Scheduler,Spectrum LSF License Scheduler,Spectrum LSF License Scheduler,spectrum lsf license scheduler,NOT FOUND,N/A,True
Sterling Business Transaction Intelligence,Sterling Business Transaction Intelligence,Sterling Business Transaction Intelligence,sterling business transaction intelligence,NOT FOUND,N/A,True
Test King Friday Product,Test King Friday Product,Test King Friday Product,test king friday product,NOT FOUND,N/A,True
Professional Services - Software Defined Networking,Professional Services - Software Defined Networking,Technology Expert Labs - SDN,technology expert labs - sdn,NOT FOUND,N/A,True
Simatic Controller,Simatic Controller,Simatic Controller,simatic controller,NOT FOUND,N/A,True
WiS TEST Product SPSS,WiS TEST Product SPSS,Watson in Support Test Only,watson in support test only,NOT FOUND,N/A,True
Db2 High Performance Unload for z/OS,Db2 High Performance Unload for z/OS,Db2 High Performance Unload for z/OS,db2 high performance unload for z/os,NOT FOUND,N/A,True
Salesforce External Support,Salesforce External Support,SF Support,sf support,NOT FOUND,N/A,True
Power USB HUB,Power USB HUB,Power USB HUB,power usb hub,NOT FOUND,N/A,True
Sterling Inventory Visibility,Sterling Inventory Visibility,Sterling Inventory Visibility,sterling inventory visibility,NOT FOUND,N/A,True
Z Performance and Capacity Analytics,Z Performance and Capacity Analytics,Z Performance and Capacity Analytics,z performance and capacity analytics,NOT FOUND,N/A,True
Maximo Spatial Asset Management,Maximo Spatial Asset Management,Maximo Spatial Asset Management,maximo spatial asset management,NOT FOUND,N/A,True
HWD2-Test-Product-PROD1,HWD2-Test-Product-PROD1,Test King Friday Product,test king friday product,NOT FOUND,N/A,True
WebSphere Service Registry and Repository,WebSphere Service Registry and Repository,WebSphere Service Registry and Repository,websphere service registry and repository,NOT FOUND,N/A,True
PowerVM for NovaLink,PowerVM for NovaLink,PowerVM for NovaLink,powervm for novalink,NOT FOUND,N/A,True
Z Crypto Discovery and Inventory,Z Crypto Discovery and Inventory,unassigned,unassigned,NOT FOUND,N/A,True
Output Manager for z/OS,Output Manager for z/OS,Output Manager for z/OS,output manager for z/os,NOT FOUND,N/A,True
Sterling Webforms,Sterling Webforms,Sterling Webforms,sterling webforms,NOT FOUND,N/A,True
IBM Support for Box,IBM Support for Box,IBM Support for Box,ibm support for box,NOT FOUND,N/A,True
WebSphere Extreme Scale,WebSphere Extreme Scale,WebSphere Extreme Scale,websphere extreme scale,NOT FOUND,N/A,True
Classic Data Replication,Classic Data Replication,Replication - IMS / VSAM,replication - ims / vsam,NOT FOUND,N/A,True
On Demand Consulting for Analytics,On Demand Consulting for Analytics,On Demand Consulting for Analytics,on demand consulting for analytics,NOT FOUND,N/A,True
Implementation & Migrations Project Services,Implementation & Migrations Project Services,Implementation & Migrations Project Services,implementation & migrations project services,NOT FOUND,N/A,True
Apache Cassandra,Apache Cassandra,Apache Cassandra,apache cassandra,NOT FOUND,N/A,True
Site Relocation Project Services,Site Relocation Project Services,unassigned,unassigned,NOT FOUND,N/A,True
IBM Migration Utility,IBM Migration Utility,Migration Utility,migration utility,NOT FOUND,N/A,True
Appliance Control Center for IBM Z & IBM LinuxONE,Appliance Control Center for IBM Z & IBM LinuxONE,Appliance Control Center for IBM Z & IBM LinuxOne,appliance control center for ibm z & ibm linuxone,NOT FOUND,N/A,True
SUN ZFS,SUN ZFS,SUN ZFS,sun zfs,NOT FOUND,N/A,True
Financial Transaction Manager for z/OS,Financial Transaction Manager for z/OS,Financial Transaction Manager for z/OS,financial transaction manager for z/os,NOT FOUND,N/A,True
Rational Build Forge,Rational Build Forge,Rational Build Forge,rational build forge,NOT FOUND,N/A,True
LinuxONE Emperor II,LinuxONE Emperor II,Z Servers,z servers,NOT FOUND,N/A,True
Expert Essentials for Security,Expert Essentials for Security,unassigned,unassigned,NOT FOUND,N/A,True
Power System 570 Server,Power System 570 Server,Power System 570 Server,power system 570 server,NOT FOUND,N/A,True
ARCAD,ARCAD,ARCAD,arcad,NOT FOUND,N/A,True
Sterling Connect Express for z/OS,Sterling Connect Express for z/OS,Sterling Connect Express for z/OS,sterling connect express for z/os,NOT FOUND,N/A,True
Security Verify Privilege Vault,Security Verify Privilege Vault,Security Verify Privilege Vault,security verify privilege vault,NOT FOUND,N/A,True
Security Verify Privilege Server Suite,Security Verify Privilege Server Suite,Security Verify Privilege Server Suite,security verify privilege server suite,NOT FOUND,N/A,True
Trusteer Pinpoint Assure,Trusteer Pinpoint Assure,Trusteer Pinpoint Assure,trusteer pinpoint assure,NOT FOUND,N/A,True
Configuration & Serviceable Actions Project Services,Configuration & Serviceable Actions Project Services,Configuration & Serviceable Actions Project Services,configuration & serviceable actions project services,NOT FOUND,N/A,True
Power System L922 Server,Power System L922 Server,Power System L922 Server,power system l922 server,NOT FOUND,N/A,True
ThinkSystem DE Series Storage,ThinkSystem DE Series Storage,ThinkSystem DE Series Storage Systems,thinksystem de series storage systems,NOT FOUND,N/A,True
Power System 770 Server,Power System 770 Server,Power System 770 Server,power system 770 server,NOT FOUND,N/A,True
USB Mouse,USB Mouse,USB Mouse,usb mouse,NOT FOUND,N/A,True
Tape Autoloaders and Libraries Collection,Tape Autoloaders and Libraries Collection,Tape Autoloaders and Libraries Collection,tape autoloaders and libraries collection,NOT FOUND,N/A,True
z Development and Test Environment,z Development and Test Environment,z Systems Development and Test Environment,z systems development and test environment,NOT FOUND,N/A,True
Storage Protect Snapshot,Storage Protect Snapshot,Storage Protect Snapshot,storage protect snapshot,NOT FOUND,N/A,True
AerPOS Series Smart Terminals,AerPOS Series Smart Terminals,AerPOS Series Smart Terminals,aerpos series smart terminals,NOT FOUND,N/A,True
Application Service Engine Server,Application Service Engine Server,Application Service Engine Server,application service engine server,NOT FOUND,N/A,True
Passbook Printers,Passbook Printers,Passbook Printers,passbook printers,NOT FOUND,N/A,True
DataStax Mission Control,DataStax Mission Control,DataStax Mission Control,datastax mission control,NOT FOUND,N/A,True
Enterprise,Enterprise,Enterprise,enterprise,NOT FOUND,N/A,True
FlashSystem C200,FlashSystem C200,unassigned,unassigned,NOT FOUND,N/A,True
Storwize V5100,Storwize V5100,Storwize V5100,storwize v5100,NOT FOUND,N/A,True
Test Accelerator for Z,Test Accelerator for Z,Test Accelerator for Z,test accelerator for z,NOT FOUND,N/A,True
Application Delivery Foundation Common Component,Application Delivery Foundation Common Component,ADFZ common component - HCL,adfz common component - hcl,NOT FOUND,N/A,True
Primergy Server,Primergy Server,Primergy Server,primergy server,NOT FOUND,N/A,True
App Connect Enterprise Cloud Service,App Connect Enterprise Cloud Service,App Connect Enterprise Cloud Service,app connect enterprise cloud service,NOT FOUND,N/A,True
Transparent Data Migration Facility for z/OS,Transparent Data Migration Facility for z/OS,Transparent Data Migration Facility for z/OS,transparent data migration facility for z/os,NOT FOUND,N/A,True
Cloud Pak for Network Automation,Cloud Pak for Network Automation,Cloud Pak for Network Automation,cloud pak for network automation,NOT FOUND,N/A,True
VIPRION,VIPRION,VIPRION Performance Blade,viprion performance blade,NOT FOUND,N/A,True
Field Project Services,Field Project Services,No Product,no product,NOT FOUND,N/A,True
Encryption Facility for z/OS,Encryption Facility for z/OS,Encryption Facility for z/OS,encryption facility for z/os,NOT FOUND,N/A,True
Guardium Data Security Center,Guardium Data Security Center,Guardium Data Security Center,guardium data security center,NOT FOUND,N/A,True
App Connect Professional on Cloud,App Connect Professional on Cloud,App Connect Professional on Cloud,app connect professional on cloud,NOT FOUND,N/A,True
Delivery SCBN Standard,Delivery SCBN Standard,WCE: Delivery SCBN Standard,wce: delivery scbn standard,NOT FOUND,N/A,True
NeXtScale Series,NeXtScale Series,NetBay Series Rack Cabinets,netbay series rack cabinets,NOT FOUND,N/A,True
Hyper Protect Offline Signing Orchestrator,Hyper Protect Offline Signing Orchestrator,Hyper Protect Offline Signing Orchestrator,hyper protect offline signing orchestrator,NOT FOUND,N/A,True
Guardium Appliance Hardware,Guardium Appliance Hardware,Guardium Appliance Hardware,guardium appliance hardware,NOT FOUND,N/A,True
Partner Ecosystem Support,Partner Ecosystem Support,Live Chat,live chat,NOT FOUND,N/A,True
System i 820 Server,System i 820 Server,System i 820 Server,system i 820 server,NOT FOUND,N/A,True
Integration Designer,Integration Designer,Integration Designer,integration designer,NOT FOUND,N/A,True
Firepower,Firepower,Firepower,firepower,NOT FOUND,N/A,True
Db2 Query Monitor for z/OS,Db2 Query Monitor for z/OS,Db2 Query Monitor for z/OS,db2 query monitor for z/os,NOT FOUND,N/A,True
TS2260 Tape Drive,TS2260 Tape Drive,TS2260 Tape Drive,ts2260 tape drive,NOT FOUND,N/A,True
Tivoli Application Dependency Discovery Manager,Tivoli Application Dependency Discovery Manager,Application Dependency Discovery,application dependency discovery,NOT FOUND,N/A,True
Cloudera DataFlow,Cloudera DataFlow,Cloudera DataFlow,cloudera dataflow,NOT FOUND,N/A,True
Data Virtualization,Data Virtualization,Data Virtualization,data virtualization,NOT FOUND,N/A,True
Enterprise Records,Enterprise Records,Enterprise Records,enterprise records,NOT FOUND,N/A,True
ILOG CPLEX Optimization Studio,ILOG CPLEX Optimization Studio,ILOG CPLEX Optimization Studio,ilog cplex optimization studio,NOT FOUND,N/A,True
Astra Streaming,Astra Streaming,Astra Streaming,astra streaming,NOT FOUND,N/A,True
Blade Servers,Blade Servers,Blade Server,blade server,NOT FOUND,N/A,True
Automated Tape Allocation Manager,Automated Tape Allocation Manager,AUTO TAPE ALLOC MGR Z/OS,auto tape alloc mgr z/os,NOT FOUND,N/A,True
FortiGate,FortiGate,FortiGate,fortigate,NOT FOUND,N/A,True
Server,Server,Server,server,NOT FOUND,N/A,True
Storagetek,Storagetek,Storagetek,storagetek,NOT FOUND,N/A,True
OMEGAMON for Messaging on z/OS,OMEGAMON for Messaging on z/OS,OMEGAMON for Messaging on z/OS,omegamon for messaging on z/os,NOT FOUND,N/A,True
Integrity BL Series C-Class Servers Blades,Integrity BL Series C-Class Servers Blades,Integrity BL Series C-Class Servers Blades,integrity bl series c-class servers blades,NOT FOUND,N/A,True
watsonx.data intelligence,watsonx.data intelligence,watsonx.data intelligence,"watsonx.data intelligence, watsonx.data intelligence.0, watsonx.data intelligence.x",NOT FOUND,N/A,True
P-temina Self Printer,P-temina Self Printer,P-temina Self Printer,p-temina self printer,NOT FOUND,N/A,True
Support for Hyperledger Fabric,Support for Hyperledger Fabric,Support for Hyperledger Fabric,support for hyperledger fabric,NOT FOUND,N/A,True
Tape Library,Tape Library,Tape Library,tape library,NOT FOUND,N/A,True
VMware vCenter Server,VMware vCenter Server,VMware vCenter Server,vmware vcenter server,NOT FOUND,N/A,True
DevOps Test Virtualization,DevOps Test Virtualization,DevOps Test Virtualization,devops test virtualization,NOT FOUND,N/A,True
Event Automation,Event Automation,Event Automation,event automation,NOT FOUND,N/A,True
Netezza Performance Server,Netezza Performance Server,Netezza Performance Server,netezza performance server,NOT FOUND,N/A,True
Storage Ready Node Ceph,Storage Ready Node Ceph,Storage Ready Node Ceph,storage ready node ceph,NOT FOUND,N/A,True
DeskJet Series Printers,DeskJet Series Printers,Inkjet Printer,inkjet printer,NOT FOUND,N/A,True
HashiCorp PayGo,HashiCorp PayGo,HashiCorp PayGo,hashicorp paygo,NOT FOUND,N/A,True
OMEGAMON for Networks on z/OS,OMEGAMON for Networks on z/OS,OMEGAMON for Networks on z/OS,omegamon for networks on z/os,NOT FOUND,N/A,True
Power System AC922 Server,Power System AC922 Server,Power System AC922 Server,power system ac922 server,NOT FOUND,N/A,True
"Db2 Linux, Unix and Windows Storage Optimization","Db2 Linux, Unix and Windows Storage Optimization","Db2 Linux, Unix and Windows Storage Optimization","db2 linux, unix and windows storage optimization",NOT FOUND,N/A,True
watsonx.data integration as a Service,watsonx.data integration as a Service,watsonx.data integration as a Service,"watsonx.data integration as a service, watsonx.data integration as a service.0, watsonx.data integration as a service.x",NOT FOUND,N/A,True
Z OMEGAMON AI for JVM,Z OMEGAMON AI for JVM,Z OMEGAMON AI for JVM,z omegamon ai for jvm,NOT FOUND,N/A,True
Thinkbook,Thinkbook,Thinkbook,thinkbook,NOT FOUND,N/A,True
BusinessObjects Web Intelligence,BusinessObjects Web Intelligence,unassigned,unassigned,NOT FOUND,N/A,True
Partner Ecosystem Support,Partner Ecosystem Support,No Product,no product,NOT FOUND,N/A,True
Apache Pulsar,Apache Pulsar,Apache Pulsar,apache pulsar,NOT FOUND,N/A,True
FlashSystem Collection,FlashSystem Collection,FlashSystem Collection,flashsystem collection,NOT FOUND,N/A,True
Machine Learning for z/OS,Machine Learning for z/OS,unassigned,unassigned,NOT FOUND,N/A,True
Observability by Instana APM on z/OS,Observability by Instana APM on z/OS,Observability by Instana APM on z/OS,observability by instana apm on z/os,NOT FOUND,N/A,True
IMS Fast Path DEDB REDO Utility,IMS Fast Path DEDB REDO Utility,unassigned,unassigned,NOT FOUND,N/A,True
TS2290 Tape Drive,TS2290 Tape Drive,TS2290 Tape Drive,ts2290 tape drive,NOT FOUND,N/A,True
InfoSphere Change Data Delivery,InfoSphere Change Data Delivery,Replication - Change Data Capture,replication - change data capture,NOT FOUND,N/A,True
Retail,Retail,Retail,retail,NOT FOUND,N/A,True
Concert on Cloud,Concert on Cloud,Concert on Cloud,concert on cloud,NOT FOUND,N/A,True
AF/Integrated Resource Manager,AF/Integrated Resource Manager,Tivoli AF/Integrated Services Manager,tivoli af/integrated services manager,NOT FOUND,N/A,True
TS2280 Tape Drive,TS2280 Tape Drive,TS2280 Tape Drive,ts2280 tape drive,NOT FOUND,N/A,True
IMS High Performance Pointer Checker for z/OS,IMS High Performance Pointer Checker for z/OS,IMS HP Pointer Checker,ims hp pointer checker,NOT FOUND,N/A,True
Reporting Appliance,Reporting Appliance,Reporting Appliance,reporting appliance,NOT FOUND,N/A,True
Db2 Web Query for i,Db2 Web Query for i,DB2 Web Query for i,db2 web query for i,NOT FOUND,N/A,True
Rational Asset Manager,Rational Asset Manager,Rational Asset Manager,rational asset manager,NOT FOUND,N/A,True
Db2 Cloning Tool for z/OS,Db2 Cloning Tool for z/OS,Db2 Cloning Tool for z/OS,db2 cloning tool for z/os,NOT FOUND,N/A,True
RMF Reporter,RMF Reporter,RMF Reporter,rmf reporter,NOT FOUND,N/A,True
Optim Test Data Management for z/OS,Optim Test Data Management for z/OS,Optim Test Data Management for z/OS,optim test data management for z/os,NOT FOUND,N/A,True
Spectrum LSF Explorer,Spectrum LSF Explorer,Spectrum LSF Explorer,spectrum lsf explorer,NOT FOUND,N/A,True
Speech to Text for Cloud,Speech to Text for Cloud,Speech to Text for Cloud,speech to text for cloud,NOT FOUND,N/A,True
Application Delivery Foundation,Application Delivery Foundation,Application Delivery Foundation,application delivery foundation,NOT FOUND,N/A,True
IMS Recovery Solution Pack for z/OS,IMS Recovery Solution Pack for z/OS,IMS Recovery Solution Pack for z/OS,ims recovery solution pack for z/os,NOT FOUND,N/A,True
Cloud Tape Connector,Cloud Tape Connector,Cloud Tape Connector,cloud tape connector,NOT FOUND,N/A,True
Kubecost Cloud Service,Kubecost Cloud Service,Kubecost Cloud Service,kubecost cloud service,NOT FOUND,N/A,True
Db2 Recovery Expert for z/OS,Db2 Recovery Expert for z/OS,Db2 Recovery Expert for z/OS,db2 recovery expert for z/os,NOT FOUND,N/A,True
Optim Data Privacy,Optim Data Privacy,Optim Data Privacy,optim data privacy,NOT FOUND,N/A,True
watsonx Assistant for Z,watsonx Assistant for Z,watsonx Assistant for Z,watsonx assistant for z,NOT FOUND,N/A,True
Z Distribution for Zowe,Z Distribution for Zowe,Z Distribution for Zowe,z distribution for zowe,NOT FOUND,N/A,True
Business Intelligence,Business Intelligence,Business Intelligence,business intelligence,NOT FOUND,N/A,True
Guardium Data Security Center SaaS,Guardium Data Security Center SaaS,Guardium Data Security Center SaaS,guardium data security center saas,NOT FOUND,N/A,True
Process Mining as a Service,Process Mining as a Service,Process Mining as a Service,process mining as a service,NOT FOUND,N/A,True
MQ as a Service,MQ as a Service,MQ as a Service,mq as a service,NOT FOUND,N/A,True
IMS High Performance Load,IMS High Performance Load,IMS HP Load,ims hp load,NOT FOUND,N/A,True
System Automation for Integrated Operations Management,System Automation for Integrated Operations Management,System Automation for Integrated Operations Management,system automation for integrated operations management,NOT FOUND,N/A,True
HP 9000 RP Series Servers,HP 9000 RP Series Servers,9000,"9000, 9000.0",NOT FOUND,N/A,True
Mini-Tower Slim Cabinet,Mini-Tower Slim Cabinet,unassigned,unassigned,NOT FOUND,N/A,True
Z OMEGAMON Integration Monitor,Z OMEGAMON Integration Monitor,Z OMEGAMON Integration Monitor,z omegamon integration monitor,NOT FOUND,N/A,True
SPSS Amos,SPSS Amos,SPSS Amos,spss amos,NOT FOUND,N/A,True
Engineering Integration Hub,Engineering Integration Hub,IBM Engineering Integration Hub,ibm engineering integration hub,NOT FOUND,N/A,True
TXSeries for Multiplatforms,TXSeries for Multiplatforms,TXSeries for Multiplatforms,txseries for multiplatforms,NOT FOUND,N/A,True
SuperServer,SuperServer,SuperServer,superserver,NOT FOUND,N/A,True
Cinema Display,Cinema Display,Cinema Display,cinema display,NOT FOUND,N/A,True
webMethods B2B SaaS,webMethods B2B SaaS,webMethods B2B SaaS,webmethods b2b saas,NOT FOUND,N/A,True
Integrity RX Series Servers,Integrity RX Series Servers,Integrity,integrity,NOT FOUND,N/A,True
Tivoli Composite Application Manager for Application Diagnostics for z/OS,Tivoli Composite Application Manager for Application Diagnostics for z/OS,ITCAM for Application Diagnostics for z/OS,itcam for application diagnostics for z/os,NOT FOUND,N/A,True
Spectrum LSF Application Center (PAC),Spectrum LSF Application Center (PAC),Spectrum LSF Application Center (PAC),spectrum lsf application center (pac),NOT FOUND,N/A,True
InfoSphere Data Architect,InfoSphere Data Architect,InfoSphere Data Architect,infosphere data architect,NOT FOUND,N/A,True
AI Optimizer for IBM Z and IBM LinuxONE,AI Optimizer for IBM Z and IBM LinuxONE,AI Optimizer for Z,ai optimizer for z,NOT FOUND,N/A,True
NCS Appliance,NCS Appliance,NCS Appliance,ncs appliance,NOT FOUND,N/A,True
Application Gateway,Application Gateway,Application Gateway,application gateway,NOT FOUND,N/A,True
Application Performance Analyzer,Application Performance Analyzer,Application Performance Analyzer,application performance analyzer,NOT FOUND,N/A,True
Flex System Series,Flex System Series,Flat Panel Console Kit,flat panel console kit,NOT FOUND,N/A,True
Telepresence,Telepresence,Telepresence,telepresence,NOT FOUND,N/A,True
Print Services Facility,Print Services Facility,PSF,psf,NOT FOUND,N/A,True
eCare: CPQ,eCare: CPQ,Digital eCare,digital ecare,NOT FOUND,N/A,True
Red Hat for Fusion,Red Hat for Fusion,unassigned,unassigned,NOT FOUND,N/A,True
Option - OBI - Think Option,Option - OBI - Think Option,Option - OBI - Think Option,option - obi - think option,NOT FOUND,N/A,True
webMethods AgileApps,webMethods AgileApps,webMethods AgileApps,webmethods agileapps,NOT FOUND,N/A,True
Luna Streaming,Luna Streaming,Luna Streaming,luna streaming,NOT FOUND,N/A,True
zBC12,zBC12,Z Servers,z servers,NOT FOUND,N/A,True
HourGlass,HourGlass,IBM HourGlass,ibm hourglass,NOT FOUND,N/A,True
